,word,frequency,decade,count,freq_entropy
3851432,woodbury,3.456482896050016e-07,2000,18.0,1.4269871387424538
428400,woodbury,2.738586924989152e-05,1860,18.0,1.4269871387424538
2033215,boleyn,1.4734585301031466e-05,1940,18.0,1.4300182728611568
156192,boleyn,1.1300582223839196e-06,1840,18.0,1.4300182728611568
801348,boleyn,2.7986238979718744e-07,1880,18.0,1.4300182728611568
2645956,boleyn,3.666749508044441e-07,1960,18.0,1.4300182728611568
2921115,boleyn,8.67832678388276e-07,1970,18.0,1.4300182728611568
3577498,boleyn,1.3571158844646533e-07,1990,18.0,1.4300182728611568
3241845,boleyn,3.512890160121437e-07,1980,18.0,1.4300182728611568
2390142,boleyn,1.1865389998164425e-07,1950,18.0,1.4300182728611568
463796,boleyn,3.9202675817840636e-07,1860,18.0,1.4300182728611568
45401,boleyn,2.1384946138449e-07,1830,18.0,1.4300182728611568
1390945,boleyn,8.294898575164536e-08,1910,18.0,1.4300182728611568
300583,boleyn,1.264455310585859e-06,1850,18.0,1.4300182728611568
1581624,boleyn,1.1052919536587929e-07,1920,18.0,1.4300182728611568
623024,boleyn,6.600310864487392e-07,1870,18.0,1.4300182728611568
1147508,boleyn,3.877939192448463e-07,1900,18.0,1.4300182728611568
1802467,boleyn,2.880390073945374e-07,1930,18.0,1.4300182728611568
3898473,boleyn,9.426771534681865e-08,2000,18.0,1.4300182728611568
985214,boleyn,1.859915273419635e-07,1890,18.0,1.4300182728611568
776678,rowland,1.539243143884531e-06,1880,18.0,1.4302794722876728
2082615,rowland,2.4557642168385776e-07,1940,18.0,1.4302794722876728
1135281,rowland,8.617642649885474e-07,1900,18.0,1.4302794722876728
2624612,rowland,1.2222498360148136e-06,1960,18.0,1.4302794722876728
